model,N,p,p_over_pc,S,replicate
ER_classic,1000,0.0006941176470588235,0.6941176470588235,0.025,1
ER_classic,1000,0.0007176470588235293,0.7176470588235293,0.021,1
ER_classic,1000,0.0007411764705882352,0.7411764705882352,0.023,1
ER_classic,1000,0.0007647058823529411,0.7647058823529411,0.049,1
ER_classic,1000,0.000788235294117647,0.7882352941176469,0.026,1
ER_classic,1000,0.0008117647058823529,0.8117647058823528,0.037,1
ER_classic,1000,0.0008352941176470588,0.8352941176470587,0.015,1
ER_classic,1000,0.0008588235294117647,0.8588235294117648,0.027,1
ER_classic,1000,0.0008823529411764706,0.8823529411764706,0.09,1
ER_classic,1000,0.0009058823529411765,0.9058823529411765,0.021,1
ER_classic,1000,0.0009294117647058824,0.9294117647058824,0.037,1
ER_classic,1000,0.0009529411764705883,0.9529411764705883,0.085,1
ER_classic,1000,0.0009764705882352941,0.9764705882352941,0.056,1
ER_classic,1000,0.001,1.0,0.058,1
ER_classic,1000,0.001023529411764706,1.0235294117647058,0.172,1
ER_classic,1000,0.0010470588235294118,1.0470588235294118,0.107,1
ER_classic,1000,0.0010705882352941177,1.0705882352941176,0.348,1
ER_classic,1000,0.0010941176470588235,1.0941176470588234,0.304,1
ER_classic,1000,0.0011176470588235294,1.1176470588235294,0.179,1
ER_classic,1000,0.0011411764705882353,1.1411764705882352,0.126,1
ER_classic,1000,0.0011647058823529412,1.1647058823529413,0.242,1
ER_classic,1000,0.001188235294117647,1.188235294117647,0.316,1
ER_classic,1000,0.001211764705882353,1.2117647058823529,0.349,1
ER_classic,1000,0.0012352941176470588,1.2352941176470589,0.272,1
ER_classic,1000,0.0012588235294117647,1.2588235294117647,0.292,1
ER_classic,1000,0.0012823529411764706,1.2823529411764705,0.419,1
ER_classic,1000,0.0013058823529411765,1.3058823529411765,0.53,1
ER_classic,1000,0.0013294117647058823,1.3294117647058823,0.441,1
ER_classic,1000,0.0013529411764705882,1.352941176470588,0.479,1
ER_classic,1000,0.001376470588235294,1.3764705882352941,0.555,1
ER_classic,1000,0.0014,1.4,0.571,1
ER_classic,1000,0.0006,0.6,0.01,2
ER_classic,1000,0.0006235294117647058,0.6235294117647058,0.019,2
ER_classic,1000,0.0006470588235294117,0.6470588235294117,0.012,2
