model,N,k,p,p_over_pc,p_eff,Phi,Psi,Nk_tot,chi,replicate
ER,100,2,0.004823529411764706,0.48235294117647054,0.0048484848484848485,0.06,0.20833333333333334,24,2.1578947368421053,1
ER,100,2,0.005235294117647059,0.5235294117647059,0.006262626262626263,0.04,0.0967741935483871,31,1.5714285714285714,1
ER,100,2,0.005647058823529412,0.5647058823529412,0.005050505050505051,0.04,0.12,25,1.6363636363636365,1
ER,100,2,0.006058823529411765,0.6058823529411764,0.007272727272727273,0.11,0.2777777777777778,36,2.5384615384615383,1
ER,100,2,0.006470588235294119,0.6470588235294118,0.005050505050505051,0.06,0.2,25,1.8,1
ER,100,2,0.006882352941176471,0.6882352941176472,0.008686868686868687,0.12,0.2558139534883721,43,3.1875,1
ER,100,2,0.007294117647058824,0.7294117647058824,0.0056565656565656566,0.05,0.14285714285714285,28,2.3333333333333335,1
ER,100,2,0.007705882352941177,0.7705882352941177,0.0056565656565656566,0.07,0.21428571428571427,28,2.090909090909091,1
ER,100,2,0.00811764705882353,0.8117647058823529,0.008888888888888889,0.11,0.22727272727272727,44,3.9411764705882355,1
ER,100,2,0.008529411764705883,0.8529411764705882,0.008484848484848486,0.22,0.5,42,5.190476190476191,1
ER,100,2,0.008941176470588237,0.8941176470588237,0.010707070707070707,0.1,0.16981132075471697,53,4.7727272727272725,1
ER,100,2,0.009352941176470588,0.9352941176470588,0.007676767676767677,0.08,0.18421052631578946,38,2.870967741935484,1
ER,100,2,0.009764705882352943,0.9764705882352942,0.010707070707070707,0.16,0.2830188679245283,53,7.578947368421052,1
ER,100,2,0.010176470588235296,1.0176470588235296,0.00808080808080808,0.11,0.25,40,3.0,1
ER,100,2,0.010588235294117648,1.0588235294117647,0.010505050505050505,0.2,0.36538461538461536,52,5.424242424242424,1
ER,100,2,0.011000000000000001,1.1,0.009898989898989899,0.23,0.4489795918367347,49,8.333333333333334,1
ER,100,2,0.011411764705882354,1.1411764705882355,0.011313131313131313,0.23,0.42857142857142855,56,4.0,1
ER,100,2,0.011823529411764707,1.1823529411764706,0.012727272727272728,0.46,0.7301587301587301,63,3.588235294117647,1
ER,100,2,0.01223529411764706,1.223529411764706,0.010101010101010102,0.11,0.2,50,4.05,1
ER,100,2,0.012647058823529414,1.2647058823529413,0.009898989898989899,0.07,0.14285714285714285,49,3.9523809523809526,1
ER,100,2,0.013058823529411767,1.3058823529411767,0.01191919191919192,0.31,0.5423728813559322,59,3.962962962962963,1
ER,100,2,0.01347058823529412,1.3470588235294119,0.009696969696969697,0.26,0.5208333333333334,48,2.8260869565217392,1
ER,100,2,0.013882352941176472,1.3882352941176472,0.013939393939393939,0.55,0.782608695652174,69,4.2,1
ER,100,2,0.014294117647058825,1.4294117647058824,0.013131313131313131,0.35,0.5230769230769231,65,7.064516129032258,1
ER,100,2,0.014705882352941178,1.4705882352941178,0.014545454545454545,0.39,0.5416666666666666,72,27.424242424242426,1
ER,100,2,0.01511764705882353,1.5117647058823531,0.011717171717171718,0.33,0.5689655172413793,58,2.92,1
ER,100,2,0.015529411764705885,1.5529411764705885,0.015151515151515152,0.64,0.9066666666666666,75,2.7142857142857144,1
ER,100,2,0.015941176470588236,1.5941176470588236,0.013333333333333334,0.37,0.5606060606060606,66,7.275862068965517,1
ER,100,2,0.01635294117647059,1.635294117647059,0.016767676767676768,0.64,0.8554216867469879,83,2.5,1
ER,100,2,0.016764705882352945,1.6764705882352946,0.01797979797979798,0.75,0.9662921348314607,89,1.6666666666666667,1
ER,100,2,0.017176470588235297,1.7176470588235295,0.01494949494949495,0.59,0.8378378378378378,74,3.6666666666666665,1
ER,100,2,0.017588235294117648,1.7588235294117647,0.01898989898989899,0.71,0.9361702127659575,94,1.3333333333333333,1
ER,100,2,0.018000000000000002,1.8000000000000003,0.01898989898989899,0.77,0.9680851063829787,94,1.0,1
ER,100,2,0.004,0.4,0.0044444444444444444,0.05,0.18181818181818182,22,1.2222222222222223,2
ER,100,2,0.004411764705882353,0.4411764705882353,0.005454545454545455,0.05,0.14814814814814814,27,1.5217391304347827,2
ER,100,2,0.004823529411764706,0.48235294117647054,0.005050505050505051,0.07,0.24,25,1.5263157894736843,2
ER,100,2,0.005235294117647059,0.5235294117647059,0.004242424242424243,0.05,0.19047619047619047,21,1.588235294117647,2
ER,100,2,0.005647058823529412,0.5647058823529412,0.0056565656565656566,0.11,0.35714285714285715,28,3.6666666666666665,2
ER,100,2,0.006058823529411765,0.6058823529411764,0.005050505050505051,0.04,0.12,25,1.7272727272727273,2
ER,100,2,0.006470588235294119,0.6470588235294118,0.005454545454545455,0.07,0.2222222222222222,27,2.238095238095238,2
ER,100,2,0.006882352941176471,0.6882352941176472,0.006868686868686869,0.07,0.17647058823529413,34,1.7857142857142858,2
ER,100,2,0.007294117647058824,0.7294117647058824,0.007474747474747475,0.13,0.32432432432432434,37,3.0,2
ER,100,2,0.007705882352941177,0.7705882352941177,0.007474747474747475,0.09,0.21621621621621623,37,3.0,2
ER,100,2,0.00811764705882353,0.8117647058823529,0.007272727272727273,0.06,0.1388888888888889,36,2.2903225806451615,2
ER,100,2,0.008529411764705883,0.8529411764705882,0.007272727272727273,0.12,0.3055555555555556,36,3.32,2
ER,100,2,0.008941176470588237,0.8941176470588237,0.006262626262626263,0.05,0.12903225806451613,31,1.8148148148148149,2
ER,100,2,0.009352941176470588,0.9352941176470588,0.009898989898989899,0.09,0.16326530612244897,49,3.4878048780487805,2
ER,100,2,0.009764705882352943,0.9764705882352942,0.00808080808080808,0.11,0.25,40,3.533333333333333,2
ER,100,2,0.010176470588235296,1.0176470588235296,0.009898989898989899,0.2,0.3877551020408163,49,4.866666666666666,2
ER,100,2,0.010588235294117648,1.0588235294117647,0.012323232323232323,0.34,0.5737704918032787,61,3.6923076923076925,2
ER,100,2,0.011000000000000001,1.1,0.008484848484848486,0.07,0.14285714285714285,42,2.611111111111111,2
ER,100,2,0.011411764705882354,1.1411764705882355,0.011515151515151515,0.51,0.8771929824561403,57,1.8571428571428572,2
ER,100,2,0.011823529411764707,1.1823529411764706,0.011111111111111112,0.18,0.3090909090909091,55,7.7368421052631575,2
ER,100,2,0.01223529411764706,1.223529411764706,0.012323232323232323,0.13,0.21311475409836064,61,6.125,2
ER,100,2,0.012647058823529414,1.2647058823529413,0.01494949494949495,0.65,0.8918918918918919,74,1.75,2
ER,100,2,0.013058823529411767,1.3058823529411767,0.009494949494949495,0.16,0.3191489361702128,47,5.4375,2
