model,N,p,p_over_pc,S,replicate
ER_classic,500,0.0016705882352941175,0.8352941176470587,0.018,1
ER_classic,500,0.0017176470588235295,0.8588235294117648,0.216,1
ER_classic,500,0.0017647058823529412,0.8823529411764706,0.072,1
ER_classic,500,0.001811764705882353,0.9058823529411765,0.058,1
ER_classic,500,0.0018588235294117648,0.9294117647058824,0.038,1
ER_classic,500,0.0019058823529411765,0.9529411764705883,0.116,1
ER_classic,500,0.0019529411764705883,0.9764705882352941,0.038,1
ER_classic,500,0.002,1.0,0.088,1
ER_classic,500,0.002047058823529412,1.0235294117647058,0.168,1
ER_classic,500,0.0020941176470588236,1.0470588235294118,0.272,1
ER_classic,500,0.0021411764705882353,1.0705882352941176,0.104,1
ER_classic,500,0.002188235294117647,1.0941176470588234,0.156,1
ER_classic,500,0.002235294117647059,1.1176470588235294,0.122,1
ER_classic,500,0.0022823529411764706,1.1411764705882352,0.196,1
ER_classic,500,0.0023294117647058824,1.1647058823529413,0.094,1
ER_classic,500,0.002376470588235294,1.188235294117647,0.396,1
ER_classic,500,0.002423529411764706,1.2117647058823529,0.518,1
ER_classic,500,0.0024705882352941176,1.2352941176470589,0.344,1
ER_classic,500,0.0025176470588235294,1.2588235294117647,0.392,1
ER_classic,500,0.002564705882352941,1.2823529411764705,0.184,1
ER_classic,500,0.002611764705882353,1.3058823529411765,0.446,1
ER_classic,500,0.0026588235294117647,1.3294117647058823,0.448,1
ER_classic,500,0.0027058823529411765,1.352941176470588,0.532,1
ER_classic,500,0.002752941176470588,1.3764705882352941,0.472,1
ER_classic,500,0.0028,1.4,0.472,1
ER_classic,500,0.0012,0.6,0.026,2
ER_classic,500,0.0012470588235294117,0.6235294117647058,0.032,2
ER_classic,500,0.0012941176470588234,0.6470588235294117,0.018,2
ER_classic,500,0.0013411764705882352,0.6705882352941176,0.03,2
ER_classic,500,0.001388235294117647,0.6941176470588235,0.032,2
ER_classic,500,0.0014352941176470587,0.7176470588235293,0.042,2
ER_classic,500,0.0014823529411764705,0.7411764705882352,0.048,2
ER_classic,500,0.0015294117647058822,0.7647058823529411,0.036,2
ER_classic,500,0.001576470588235294,0.7882352941176469,0.028,2
ER_classic,500,0.0016235294117647057,0.8117647058823528,0.044,2
ER_classic,500,0.0016705882352941175,0.8352941176470587,0.03,2
ER_classic,500,0.0017176470588235295,0.8588235294117648,0.048,2
ER_classic,500,0.0017647058823529412,0.8823529411764706,0.04,2
ER_classic,500,0.001811764705882353,0.9058823529411765,0.192,2
ER_classic,500,0.0018588235294117648,0.9294117647058824,0.108,2
ER_classic,500,0.0019058823529411765,0.9529411764705883,0.094,2
ER_classic,500,0.0019529411764705883,0.9764705882352941,0.046,2
ER_classic,500,0.002,1.0,0.274,2
ER_classic,500,0.002047058823529412,1.0235294117647058,0.08,2
ER_classic,500,0.0020941176470588236,1.0470588235294118,0.202,2
ER_classic,500,0.0021411764705882353,1.0705882352941176,0.116,2
ER_classic,500,0.002188235294117647,1.0941176470588234,0.114,2
ER_classic,500,0.002235294117647059,1.1176470588235294,0.282,2
ER_classic,500,0.0022823529411764706,1.1411764705882352,0.352,2
ER_classic,500,0.0023294117647058824,1.1647058823529413,0.334,2
ER_classic,500,0.002376470588235294,1.188235294117647,0.234,2
ER_classic,500,0.002423529411764706,1.2117647058823529,0.47,2
ER_classic,500,0.0024705882352941176,1.2352941176470589,0.186,2
ER_classic,500,0.0025176470588235294,1.2588235294117647,0.388,2
ER_classic,500,0.002564705882352941,1.2823529411764705,0.394,2
ER_classic,500,0.002611764705882353,1.3058823529411765,0.464,2
ER_classic,500,0.0026588235294117647,1.3294117647058823,0.444,2
ER_classic,500,0.0027058823529411765,1.352941176470588,0.508,2
ER_classic,500,0.002752941176470588,1.3764705882352941,0.4,2
ER_classic,500,0.0028,1.4,0.462,2
ER_classic,500,0.0012,0.6,0.024,3
ER_classic,500,0.0012470588235294117,0.6235294117647058,0.024,3
ER_classic,500,0.0012941176470588234,0.6470588235294117,0.036,3
ER_classic,500,0.0013411764705882352,0.6705882352941176,0.056,3
ER_classic,500,0.001388235294117647,0.6941176470588235,0.026,3
ER_classic,500,0.0014352941176470587,0.7176470588235293,0.026,3
ER_classic,500,0.0014823529411764705,0.7411764705882352,0.032,3
ER_classic,500,0.0015294117647058822,0.7647058823529411,0.058,3
ER_classic,500,0.001576470588235294,0.7882352941176469,0.022,3
ER_classic,500,0.0016235294117647057,0.8117647058823528,0.072,3
ER_classic,500,0.0016705882352941175,0.8352941176470587,0.054,3
ER_classic,500,0.0017176470588235295,0.8588235294117648,0.046,3
ER_classic,500,0.0017647058823529412,0.8823529411764706,0.052,3
ER_classic,500,0.001811764705882353,0.9058823529411765,0.048,3
ER_classic,500,0.0018588235294117648,0.9294117647058824,0.13,3
ER_classic,500,0.0019058823529411765,0.9529411764705883,0.08,3
ER_classic,500,0.0019529411764705883,0.9764705882352941,0.116,3
ER_classic,500,0.002,1.0,0.112,3
ER_classic,500,0.002047058823529412,1.0235294117647058,0.076,3
ER_classic,500,0.0020941176470588236,1.0470588235294118,0.172,3
ER_classic,500,0.0021411764705882353,1.0705882352941176,0.118,3
ER_classic,500,0.002188235294117647,1.0941176470588234,0.276,3
ER_classic,500,0.002235294117647059,1.1176470588235294,0.104,3
ER_classic,500,0.0022823529411764706,1.1411764705882352,0.246,3
ER_classic,500,0.0023294117647058824,1.1647058823529413,0.316,3
ER_classic,500,0.002376470588235294,1.188235294117647,0.092,3
ER_classic,500,0.002423529411764706,1.2117647058823529,0.366,3
ER_classic,500,0.0024705882352941176,1.2352941176470589,0.148,3
ER_classic,500,0.0025176470588235294,1.2588235294117647,0.096,3
ER_classic,500,0.002564705882352941,1.2823529411764705,0.586,3
ER_classic,500,0.002611764705882353,1.3058823529411765,0.456,3
ER_classic,500,0.0026588235294117647,1.3294117647058823,0.52,3
ER_classic,500,0.0027058823529411765,1.352941176470588,0.358,3
ER_classic,500,0.002752941176470588,1.3764705882352941,0.614,3
ER_classic,500,0.0028,1.4,0.466,3
ER_classic,500,0.0012,0.6,0.028,4
ER_classic,500,0.0012470588235294117,0.6235294117647058,0.018,4
ER_classic,500,0.0012941176470588234,0.6470588235294117,0.02,4
ER_classic,500,0.0013411764705882352,0.6705882352941176,0.028,4
ER_classic,500,0.001388235294117647,0.6941176470588235,0.02,4
ER_classic,500,0.0014352941176470587,0.7176470588235293,0.054,4
ER_classic,500,0.0014823529411764705,0.7411764705882352,0.068,4
ER_classic,500,0.0015294117647058822,0.7647058823529411,0.104,4
ER_classic,500,0.001576470588235294,0.7882352941176469,0.078,4
ER_classic,500,0.0016235294117647057,0.8117647058823528,0.052,4
ER_classic,500,0.0016705882352941175,0.8352941176470587,0.046,4
ER_classic,500,0.0017176470588235295,0.8588235294117648,0.114,4
ER_classic,500,0.0017647058823529412,0.8823529411764706,0.05,4
ER_classic,500,0.001811764705882353,0.9058823529411765,0.054,4
ER_classic,500,0.0018588235294117648,0.9294117647058824,0.064,4
ER_classic,500,0.0019058823529411765,0.9529411764705883,0.102,4
ER_classic,500,0.0019529411764705883,0.9764705882352941,0.178,4
ER_classic,500,0.002,1.0,0.1,4
ER_classic,500,0.002047058823529412,1.0235294117647058,0.114,4
ER_classic,500,0.0020941176470588236,1.0470588235294118,0.284,4
ER_classic,500,0.0021411764705882353,1.0705882352941176,0.19,4
ER_classic,500,0.002188235294117647,1.0941176470588234,0.284,4
ER_classic,500,0.002235294117647059,1.1176470588235294,0.134,4
ER_classic,500,0.0022823529411764706,1.1411764705882352,0.13,4
ER_classic,500,0.0023294117647058824,1.1647058823529413,0.176,4
ER_classic,500,0.002376470588235294,1.188235294117647,0.358,4
ER_classic,500,0.002423529411764706,1.2117647058823529,0.294,4
ER_classic,500,0.0024705882352941176,1.2352941176470589,0.436,4
ER_classic,500,0.0025176470588235294,1.2588235294117647,0.132,4
ER_classic,500,0.002564705882352941,1.2823529411764705,0.446,4
ER_classic,500,0.002611764705882353,1.3058823529411765,0.366,4
ER_classic,500,0.0026588235294117647,1.3294117647058823,0.298,4
ER_classic,500,0.0027058823529411765,1.352941176470588,0.544,4
ER_classic,500,0.002752941176470588,1.3764705882352941,0.514,4
ER_classic,500,0.0028,1.4,0.504,4
ER_classic,500,0.0012,0.6,0.016,5
ER_classic,500,0.0012470588235294117,0.6235294117647058,0.03,5
ER_classic,500,0.0012941176470588234,0.6470588235294117,0.028,5
ER_classic,500,0.0013411764705882352,0.6705882352941176,0.038,5
ER_classic,500,0.001388235294117647,0.6941176470588235,0.034,5
ER_classic,500,0.0014352941176470587,0.7176470588235293,0.054,5
ER_classic,500,0.0014823529411764705,0.7411764705882352,0.06,5
ER_classic,500,0.0015294117647058822,0.7647058823529411,0.032,5
