model,N,k,p,p_over_pc,p_eff,Phi,Psi,Nk_tot,chi,replicate
ER,100,4,0.22582765095395912,1.5117647058823531,0.22424242424242424,0.99,0.9559386973180076,522,1.5217391304347827,0
ER,100,4,0.2319785986453121,1.5529411764705883,0.23959595959595958,1.0,0.9896373056994818,772,1.25,0
ER,100,4,0.23812954633666505,1.5941176470588236,0.24282828282828284,1.0,0.9872832369942196,865,1.1818181818181819,0
ER,100,4,0.24428049402801805,1.635294117647059,0.24626262626262627,0.99,0.9824561403508771,969,1.9411764705882353,0
ER,100,4,0.250431441719371,1.676470588235294,0.261010101010101,1.0,0.9927272727272727,1100,1.0,0
ER,100,4,0.256582389410724,1.7176470588235295,0.25313131313131315,1.0,0.9939024390243902,1148,1.5714285714285714,0
ER,100,4,0.2627333371020769,1.7588235294117645,0.2703030303030303,1.0,0.991499227202473,1294,2.090909090909091,0
ER,100,4,0.2688842847934299,1.8,0.26161616161616164,0.99,0.9932716568544996,1189,1.5,0
ER,100,4,0.05975206328742887,0.4,0.05656565656565657,0.0,0.0,0,0.0,1
ER,100,4,0.06590301097878185,0.44117647058823534,0.06727272727272728,0.0,0.0,0,0.0,1
ER,100,4,0.07205395867013481,0.4823529411764706,0.06848484848484848,0.0,0.0,0,0.0,1
ER,100,4,0.07820490636148779,0.5235294117647059,0.07676767676767676,0.05,1.0,2,0.0,1
ER,100,4,0.08435585405284077,0.5647058823529413,0.08141414141414141,0.04,1.0,1,0.0,1
ER,100,4,0.09050680174419373,0.6058823529411765,0.09494949494949495,0.04,1.0,1,0.0,1
ER,100,4,0.0966577494355467,0.6470588235294118,0.09919191919191919,0.04,0.5,2,1.0,1
ER,100,4,0.10280869712689968,0.6882352941176471,0.10585858585858586,0.06,0.42857142857142855,7,2.5,1
ER,100,4,0.10895964481825265,0.7294117647058824,0.10909090909090909,0.05,0.2857142857142857,7,1.4,1
ER,100,4,0.11511059250960562,0.7705882352941177,0.11777777777777777,0.05,0.2857142857142857,7,1.0,1
ER,100,4,0.12126154020095858,0.8117647058823529,0.12343434343434344,0.06,0.21428571428571427,14,1.9090909090909092,1
ER,100,4,0.12741248789231158,0.8529411764705883,0.12808080808080807,0.08,0.4444444444444444,18,1.6,1
ER,100,4,0.13356343558366454,0.8941176470588236,0.13393939393939394,0.05,0.1,20,1.3333333333333333,1
ER,100,4,0.1397143832750175,0.9352941176470588,0.1319191919191919,0.07,0.21052631578947367,19,1.9333333333333333,1
ER,100,4,0.14586533096637047,0.9764705882352941,0.1412121212121212,0.09,0.23076923076923078,26,1.5,1
ER,100,4,0.15201627865772346,1.0176470588235296,0.14444444444444443,0.08,0.2972972972972973,37,2.230769230769231,1
ER,100,4,0.15816722634907643,1.0588235294117647,0.15616161616161617,0.11,0.15517241379310345,58,4.020408163265306,1
