n_nodes,n_edges,components,giant_comp_size,avg_strength,avg_clustering,betweenness_avg,betweenness_max,total_sci,country_ISO3
27,351,1,27,301432.74074074073,0.05536514030834567,0.030997150997151,0.13230769230769232,4069342.0,BRA
27,351,1,27,41413138.222222224,0.06120159714213301,0.0007977207977207976,0.00923076923076923,559077366.0,MWI
26,325,1,26,1083609.076923077,0.07354446201469846,0.03307692307692307,0.15333333333333335,14086918.0,PER
26,325,1,26,7290690.615384615,0.01362680805789673,0.035,0.1366666666666667,94778978.0,CHE
25,300,1,25,7496394.4,0.04545051793199795,0.023623188405797104,0.09057971014492754,93704930.0,SRB
25,300,1,25,4722031.36,0.07211449591398349,0.0014492753623188406,0.014492753623188406,59025392.0,KHM
25,300,1,25,5989535.2,0.07012355986404381,0.03739130434782609,0.14855072463768115,74869190.0,PRT
24,276,1,24,920139.1666666666,0.06114533408392959,0.027667984189723317,0.15810276679841895,11041670.0,ARG
24,276,1,24,2990208.5,0.17851493052905223,0.0001646903820816864,0.003952569169960474,35882502.0,TUN
24,276,1,24,3148453.8333333335,0.0534370575400051,0.053853754940711464,0.30039525691699603,37781446.0,ECU
23,253,1,23,553850.9565217391,0.13915517933434973,0.0020703933747412005,0.008658008658008658,6369286.0,UKR
22,231,1,22,96780310.36363636,0.025217556125481686,0.07683982683982685,0.4761904761904762,1064583414.0,LKA
22,231,1,22,12431458.545454545,0.04262560393099328,0.01168831168831169,0.12380952380952381,136746044.0,MNG
22,231,1,22,4884261.090909091,0.03927072598902486,0.04826839826839828,0.2380952380952381,53726872.0,LBY
22,231,1,22,50777321.27272727,0.14335685304147538,0.004112554112554113,0.0380952380952381,558550534.0,PNG
22,231,1,22,2611241.8181818184,0.09112510627640372,0.029437229437229442,0.1523809523809524,28723660.0,GTM
22,231,1,22,83968836.36363636,0.08769523950220753,0.008441558441558443,0.0761904761904762,923657200.0,TCD
21,210,1,21,1985836.5714285714,0.15779903242705146,0.004260651629072682,0.03684210526315789,20851284.0,SWE
21,210,1,21,7915257.904761905,0.11154932886727445,0.021052631578947368,0.08947368421052632,83110208.0,HRV
20,190,1,20,3374638.0,0.1409588858213114,0.012573099415204677,0.03508771929824561,33746380.0,HUN
19,171,1,19,3996197.8947368423,0.17720140892141864,0.014103887168902648,0.07189542483660132,37963880.0,FIN
18,153,1,18,13430345.555555556,0.05563954491144666,0.010212418300653595,0.08088235294117647,120873110.0,PRY
18,153,1,18,5133769.333333333,0.09455375438077153,0.020833333333333332,0.16176470588235295,46203924.0,HND
18,153,1,18,9465891.777777778,0.04056555600838664,0.029820261437908495,0.22058823529411764,85193026.0,NIC
18,153,1,18,5168314.444444444,0.12281459881062938,0.0016339869281045752,0.014705882352941176,46514830.0,NOR
18,153,1,18,13766458.222222222,0.11926763646604455,0.0004084967320261438,0.007352941176470588,123898124.0,AGO
18,153,1,18,9921745.555555556,0.14639456386369235,0.004493464052287582,0.058823529411764705,89295710.0,LAO
17,136,1,17,1090984.0,0.08170397930016056,0.013235294117647059,0.225,9273364.0,KOR
17,136,1,17,54673163.52941176,0.1739451398364353,0.0014705882352941176,0.025,464721890.0,BDI
16,120,1,16,1340078.25,0.15078505208637752,0.0005952380952380953,0.009523809523809525,10720626.0,MYS
15,105,1,15,854082.6666666666,0.1552696040564966,0.0007326007326007327,0.01098901098901099,6405620.0,CHL
15,105,1,15,68790560.0,0.3168110945870823,0.0014652014652014654,0.01098901098901099,515929200.0,BWA
